,tr,TrialType,ChoicePred,ChoiceProb,ChoiceUtil,util_gamble,util_safe,p_gamble,p_safe,SafeBet,HighBet,LowBet
0,0,loss,gamble,0.4013123398875479,-0.88,-0.88,-0.8,0.4013123398875479,0.598687660112452,-0.2,0.0,-0.44
1,1,mix,safe,0.9046505351008906,0.0,-0.44999999999999996,0.0,0.0953494648991095,0.9046505351008906,0.0,0.3,-0.3
2,2,loss,safe,0.9998492896419403,-1.6,-3.36,-1.6,0.0001507103580597574,0.9998492896419403,-0.4,0.0,-1.68
3,3,gain,gamble,0.9168273035060777,1.08,1.08,0.6,0.9168273035060777,0.08317269649392234,0.6,2.16,0.0
4,4,gain,safe,0.5621765008857981,0.3,0.25,0.3,0.43782349911420193,0.5621765008857981,0.3,0.5,0.0
5,5,loss,safe,0.9969815836752915,-2.0,-3.16,-2.0,0.0030184163247084215,0.9969815836752915,-0.5,0.0,-1.58
6,6,gain,safe,0.40131233988754794,0.2,0.28,0.2,0.5986876601124521,0.40131233988754794,0.2,0.56,0.0
7,7,mix,safe,0.9149009549929797,0.0,-0.475,0.0,0.08509904500702024,0.9149009549929797,0.0,0.25,-0.3
8,8,loss,safe,0.9999322758503801,-2.4,-4.32,-2.4,6.772414961977011e-05,0.9999322758503801,-0.6,0.0,-2.16
9,9,mix,safe,0.9241418199787566,0.0,-0.5,0.0,0.07585818002124356,0.9241418199787566,0.0,1.0,-0.5
10,10,gain,gamble,0.7310585786300049,0.7,0.7,0.5,0.7310585786300049,0.2689414213699951,0.5,1.4,0.0
11,11,gain,safe,0.598687660112452,0.5,0.42,0.5,0.40131233988754805,0.598687660112452,0.5,0.84,0.0
12,12,gain,gamble,0.759510916949111,0.63,0.63,0.4,0.759510916949111,0.24048908305088892,0.4,1.26,0.0
13,13,gain,gamble,0.6899744811276124,0.36,0.36,0.2,0.6899744811276124,0.31002551887238755,0.2,0.72,0.0
14,14,gain,gamble,0.38343349547868066,0.505,0.505,0.6,0.38343349547868066,0.6165665045213192,0.6,1.01,0.0
