,tr,TrialType,ChoicePred,ChoiceProb,ChoiceUtil,util_gamble,util_safe,p_gamble,p_safe,SafeBet,HighBet,LowBet
0,0,gain,gamble,0.9890130573694068,1.5,1.5,0.6,0.9890130573694068,0.01098694263059318,0.6,3.0,0.0
1,1,mix,gamble,0.5926665999540697,0.07500000000000001,0.07500000000000001,0.0,0.5926665999540697,0.40733340004593016,0.0,0.45,-0.3
2,2,gain,safe,0.5621765008857981,0.3,0.25,0.3,0.43782349911420193,0.5621765008857981,0.3,0.5,0.0
3,3,mix,gamble,0.5374298453437495,0.03,0.03,0.0,0.5374298453437495,0.46257015465625045,0.0,0.36,-0.3
4,4,mix,gamble,0.35434369377420455,-0.12,-0.12,0.0,0.35434369377420455,0.6456563062257954,0.0,0.26,-0.5
5,5,mix,safe,0.7900123734263976,0.0,-0.26500000000000007,0.0,0.20998762657360248,0.7900123734263976,0.0,0.57,-1.1
6,6,mix,gamble,0.9770226300899744,0.75,0.75,0.0,0.9770226300899744,0.022977369910025615,0.0,3.0,-1.5
7,7,gain,gamble,0.9770226300899744,1.25,1.25,0.5,0.9770226300899744,0.022977369910025615,0.5,2.5,0.0
8,8,gain,safe,0.35434369377420444,0.3,0.42,0.3,0.6456563062257955,0.35434369377420444,0.3,0.84,0.0
9,9,loss,gamble,0.5,-0.5,-0.5,-0.5,0.5,0.5,-0.5,0.0,-1.0
10,10,gain,gamble,0.5866175789173301,0.37,0.37,0.3,0.5866175789173301,0.4133824210826699,0.3,0.74,0.0
11,11,gain,safe,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0
12,12,gain,gamble,0.7685247834990178,0.54,0.54,0.3,0.7685247834990178,0.23147521650098232,0.3,1.08,0.0
13,13,loss,safe,0.9890130573694068,-0.6,-1.5,-0.6,0.010986942630593181,0.9890130573694068,-0.6,0.0,-3.0
14,14,gain,gamble,0.7685247834990176,0.84,0.84,0.6,0.7685247834990176,0.2314752165009823,0.6,1.68,0.0
15,15,loss,gamble,0.19000156601531293,-0.79,-0.79,-0.5,0.19000156601531293,0.8099984339846871,-0.5,0.0,-1.58
