,tr,TrialType,ChoicePred,ChoiceProb,ChoiceUtil,util_gamble,util_safe,p_gamble,p_safe,SafeBet,HighBet,LowBet
0,0,mix,safe,0.37525213319590217,0.0,0.10194999999999997,0.0,0.6247478668040978,0.37525213319590217,0.0,0.57,-1.1
1,1,gain,safe,0.35801271400436047,0.04000000000000001,0.15680000000000002,0.04000000000000001,0.6419872859956395,0.35801271400436047,0.2,0.56,0.0
2,2,mix,gamble,0.4994375002373046,-0.0004499999999999999,-0.0004499999999999999,0.0,0.4994375002373046,0.5005624997626954,0.0,0.09,-0.3
3,3,gain,gamble,0.549833997312478,0.08000000000000002,0.08000000000000002,0.04000000000000001,0.549833997312478,0.4501660026875221,0.2,0.4,0.0
4,4,mix,gamble,0.9994675558699232,1.5075,1.5075,0.0,0.9994675558699232,0.000532444130076782,0.0,1.8,-1.5
5,5,gain,gamble,0.7881817308304386,0.35279999999999995,0.35279999999999995,0.09,0.7881817308304386,0.21181826916956137,0.3,0.84,0.0
6,6,mix,safe,0.5033749487431216,0.0,-0.0026999999999999997,0.0,0.49662505125687834,0.5033749487431216,0.0,0.06,-0.3
7,7,mix,gamble,0.5522460927956216,0.04195,0.04195,0.0,0.5522460927956216,0.44775390720437835,0.0,0.33,-0.5
8,8,gain,gamble,0.9217236546298928,0.5832,0.5832,0.09,0.9217236546298928,0.07827634537010725,0.3,1.08,0.0
9,9,mix,gamble,0.9937100978631075,1.0125,1.0125,0.0,0.9937100978631075,0.006289902136892483,0.0,1.5,-1.5
10,10,gain,gamble,0.6792331704835253,0.51005,0.51005,0.36,0.6792331704835253,0.3207668295164747,0.6,1.01,0.0
11,11,gain,gamble,0.998941665565534,1.62,1.62,0.25,0.998941665565534,0.001058334434466013,0.5,1.8,0.0
12,12,mix,gamble,0.4984375050862431,-0.0012500000000000011,-0.0012500000000000011,0.0,0.4984375050862431,0.5015624949137568,0.0,0.15,-0.5
13,13,loss,safe,0.5030999602792774,-0.004000000000000001,-0.00648,-0.004000000000000001,0.4969000397207226,0.5030999602792774,-0.2,0.0,-0.36
14,14,gain,gamble,0.861791506247338,0.6160500000000001,0.6160500000000001,0.25,0.861791506247338,0.13820849375266198,0.5,1.11,0.0
15,15,mix,gamble,0.5333877418834317,0.02675,0.02675,0.0,0.5333877418834317,0.46661225811656815,0.0,0.25,-0.3
16,16,gain,gamble,0.9999992293263008,3.1752000000000002,3.1752000000000002,0.36,0.9999992293263008,7.706736991463415e-07,0.6,2.52,0.0
17,17,loss,gamble,0.40974974806981657,-0.09799999999999999,-0.09799999999999999,-0.025,0.40974974806981657,0.5902502519301834,-0.5,0.0,-1.4
18,18,gain,gamble,0.8389248357748362,0.49005,0.49005,0.16000000000000003,0.8389248357748362,0.1610751642251638,0.4,0.99,0.0
