,model_name,bic_mean,bic_sum,aic_mean,aic_sum,rss_mean,rss_sum,n_params
0,Base,16.46859528736857,411.7148821842142,7.555807818878576,188.8951954719644,35.046262438235104,876.1565609558776,7
1,RPE,20.64820167231214,516.2050418078035,8.827061984095009,220.67654960237522,30.56990814622144,764.247703655536,8
2,nRPE,20.58649740248726,514.6624350621815,8.888766253919883,222.21915634799706,31.195172737902546,779.8793184475636,8
3,pRPE,20.533526686254483,513.338167156362,8.941736970152666,223.54342425381665,32.37081517690892,809.270379422723,8
4,nRPE_pRPE,24.597323594917313,614.9330898729328,10.159489189156897,253.98722972892242,29.71178442577368,742.794610644342,9
5,tCPE,20.651758595440334,516.2939648860083,8.823505060966816,220.5876265241704,30.562657601118687,764.0664400279671,8
6,dCPE,20.590419255928165,514.7604813982041,8.884844400478984,222.12111001197462,31.4146733962535,785.3668349063375,8
7,RPE_tCPE,24.619322515137913,615.4830628784479,10.126490808825992,253.1622702206498,29.47208880940952,736.802220235238,9
8,RPE_dCPE,24.61553089637217,615.3882724093042,10.132178236974605,253.30445592436513,29.546035282926727,738.6508820731682,9
9,tRegret,20.590318584524965,514.7579646131242,8.884945071882179,222.12362679705444,31.26143119812027,781.5357799530068,8
10,dRegret,20.54747836012414,513.6869590031034,8.927785296283009,223.1946324070752,31.859502045641,796.487551141025,8
11,tRelief,20.584499589568814,514.6124897392203,8.890764066838333,222.26910167095832,31.503154665561542,787.5788666390386,8
12,dRelief,20.54338360664895,513.5845901662237,8.931880049758199,223.29700124395498,32.144873764480565,803.6218441120141,8
13,nRPE_tReg,24.55481835468993,613.8704588672483,10.223247049497969,255.58117623744923,30.130637254506542,753.2659313626635,9
14,nRPE_dReg,24.560580048978277,614.0145012244569,10.214604508065452,255.36511270163632,29.936969081043024,748.4242270260756,9
15,pRPE_tRel,24.537378322775808,613.4344580693952,10.249407097369156,256.2351774342289,30.823116469219983,770.5779117304995,9
16,pRPE_dRel,24.524530361926466,613.1132590481617,10.268679038643166,256.71697596607913,30.998383476406605,774.9595869101652,9
17,nRPE_tReg_pRPE_tRel,32.51709175680625,812.9272939201562,12.608325233612977,315.20813084032443,28.03657050317387,700.9142625793468,11
18,nRPE_dReg_pRPE_dRel,32.513102710563594,812.8275677640898,12.618297849219609,315.45744623049023,27.965039145288404,699.1259786322101,11
19,Base_util,16.433937150423322,410.8484287605831,7.573136887351196,189.3284221837799,35.40062548704084,885.0156371760211,7
20,RPE_util,20.506166619833415,512.6541654958354,8.969097036573729,224.2274259143432,32.36330665864299,809.0826664660748,8
21,tCPE_util,20.61980346153807,515.4950865384517,8.855460194869076,221.3865048717269,31.005545110574467,775.1386277643617,8
22,dCPE_util,20.54605958813621,513.6514897034052,8.929204068270936,223.23010170677338,32.011306430802925,800.2826607700731,8
23,tCPE_RPE_util,24.57000881759554,614.2502204398885,10.200461355139543,255.0115338784886,30.130599515429754,753.2649878857438,9
24,dCPE_RPE_util,24.521182127335955,613.0295531833989,10.273701390528938,256.84253476322345,30.714952790117817,767.8738197529455,9
25,tRegret_util,20.590288681203475,514.7572170300868,8.884974975203674,222.12437438009184,31.20727649021314,780.1819122553285,8
26,dRegret_util,20.49761598962692,512.440399740673,8.977647666780227,224.44119166950568,32.67607569092049,816.9018922730122,8
27,tRelief_util,20.548686087748692,513.7171521937173,8.926577568658457,223.16443921646143,31.97794128831374,799.4485322078435,8
28,dRelief_util,20.51414397589065,512.8535993972663,8.961119680516495,224.02799201291236,32.35389266601448,808.847316650362,8
29,tReg_tRel_util,24.612560947285843,615.3140236821461,10.1366331606041,253.4158290151025,29.448278899255033,736.2069724813758,9
30,dReg_dRel_util,24.53000639965702,613.2501599914254,10.260464982047338,256.51162455118344,30.484110178671767,762.1027544667942,9
31,nRPE_tReg_util,24.560533355991566,614.0133338997891,10.214674547545517,255.36686368863792,30.076016784612637,751.900419615316,9
32,nRPE_dReg_util,24.4590142055919,611.4753551397974,10.366953273145013,259.17383182862534,31.56373493813567,789.0933734533918,9
33,pRPE_tRel_util,24.49982718360577,612.4956795901443,10.305733806124206,257.64334515310514,31.045129094120703,776.1282273530176,9
34,pRPE_dRel_util,24.467071280087836,611.6767820021959,10.354867661401112,258.8716915350278,31.377367768346236,784.4341942086559,9
35,nRPE_tReg_pRPE_tRel_util,32.52079268832523,813.0198172081307,12.599072904815518,314.97682262038796,27.657733365219624,691.4433341304906,11
36,nRPE_dReg_pRPE_dRel_util,32.4525809613136,811.31452403284,12.769602222344593,319.2400555586148,28.507891654777612,712.6972913694403,11
37,Base_util_RPE,20.651265773901365,516.2816443475341,8.823997882505783,220.59994706264456,30.426821961668402,760.67054904171,8
38,Base_util_nRPE,20.5861960198308,514.65490049577,8.889067636576346,222.22669091440864,31.187572885011903,779.6893221252976,8
39,Base_util_pRPE,20.52643401135661,513.1608502839152,8.94882964505054,223.72074112626348,32.26348917360688,806.587229340172,8
40,Base_util_tCPE,20.672506497996086,516.8126624499022,8.802757158411056,220.06892896027642,30.269432008272332,756.7358002068083,8
41,Base_util_dCPE,20.609142352987366,515.2285588246841,8.866121303419783,221.65303258549457,31.13265810652518,778.3164526631296,8
42,Base_util_tRegret,20.58755863808848,514.688965952212,8.887705018318666,222.19262545796664,31.28366928322744,782.091732080686,8
43,Base_util_dRegret,20.54072168559381,513.5180421398452,8.934541970813337,223.36354927033344,31.952256651061642,798.8064162765411,8
44,Base_util_tRelief,20.61227132912334,515.3067832280835,8.862992327283807,221.57480818209518,31.065468497733562,776.6367124433391,8
