,model_name,bic_mean,bic_sum,aic_mean,aic_sum,rss_mean,rss_sum,n_params
0,Base,16.593545032070487,348.46444567348027,7.492640282276726,157.34544592781126,33.31434858430051,699.6013202703107,7
1,RPE,20.813552392138345,437.0846002349052,8.65997960364159,181.8595716764734,28.294821650226563,594.1912546547578,8
2,nRPE,20.748815581689456,435.7251272154786,8.724716414090475,183.21904469589995,28.910916769684913,607.1292521633832,8
3,pRPE,20.663255224546987,433.92835971548675,8.810276771232946,185.01581219589187,30.711795868509604,644.9477132387017,8
4,nRPE_pRPE,24.75623978030306,519.8810353863643,9.917997921949285,208.27795636093498,27.654506752188293,580.7446417959542,9
5,EV_RPE,16.77604410105848,352.2969261222281,7.401390747782733,155.4292057034374,30.423757507009398,638.8989076471973,7
6,CR_RPE,16.723259372149776,351.1884468151453,7.427783112237085,155.9834453569788,30.822352052790258,647.2693931085954,7
7,tCPE,20.814931177652284,437.11355473069796,8.658600818127647,181.8306171806806,28.326831211835344,594.8634554485423,8
8,dCPE,20.742724889290407,435.5972226750985,8.730807106489529,183.3469492362801,29.316453574204875,615.6455250583024,8
9,RPE_tCPE,24.79477157935616,520.6902031664794,9.860200223369633,207.0642046907623,27.065777013779748,568.3813172893747,9
10,RPE_dCPE,24.79054137501157,520.601368875243,9.866545529886517,207.19745612761687,27.148250224038136,570.1132547048009,9
11,tRegret,20.75379903479423,435.82977973067887,8.719732960985695,183.1143921806996,28.96734131400767,608.3141675941611,8
12,dRegret,20.700251915247186,434.70529022019093,8.77328008053274,184.23888169118754,29.691620777426245,623.5240363259511,8
13,tRelief,20.729161319436077,435.3123877081576,8.744370676343857,183.631784203221,29.562804739188664,620.8188995229619,8
14,dRelief,20.685069199190078,434.38645318299166,8.788462796589853,184.5577187283869,30.21306768242699,634.4744213309667,8
15,nRPE_tReg,24.72617003831679,519.2495708046526,9.963102534928687,209.22515323350243,27.738296008088284,582.504216169854,9
16,nRPE_dReg,24.73048014251081,519.340082992727,9.95663737863766,209.08938495139088,27.577595303219873,579.1295013676173,9
17,pRPE_tRel,24.687274244914935,518.4327591432136,10.021446225031475,210.45037072566097,28.871293788408803,606.2971695565849,9
18,pRPE_dRel,24.669977219258694,518.0695216044326,10.047391763515833,210.9952270338325,29.116689817349922,611.4504861643484,9
19,nRPE_tReg_pRPE_tRel,32.69568538159423,686.6093930134789,12.154914529134144,255.25320511181704,25.748442966424882,540.7173022949225,11
20,nRPE_dReg_pRPE_dRel,32.690045770987226,686.4909611907317,12.169013555651665,255.54928466868498,25.70502579557214,539.805541707015,11
21,Base_util,16.552999209842913,347.6129834067012,7.512913193390519,157.7711770612009,33.72576504272146,708.2410658971507,7
22,RPE_util,20.653286451611034,433.7190154838317,8.820245544168895,185.2251564275468,30.27437507006605,635.761876471387,8
23,tCPE_util,20.802213785765417,436.8464895010738,8.671318210014514,182.09768241030477,28.402330657016,596.448943797336,8
24,dCPE_util,20.70712727955992,434.84967287075835,8.766404716220006,184.09449904062012,29.706326527048706,623.8328570680228,8
25,tCPE_RPE_util,24.75328761215929,519.8190398553451,9.922426174164947,208.37094965746388,27.566875275563234,578.9043807868279,9
26,dCPE_RPE_util,24.686792647540635,518.4226455983534,10.02216862109292,210.46554104295132,28.400614571588317,596.4129060033547,9
27,tRegret_util,20.76331691241238,436.02965516066,8.710215083367544,182.91451675071843,28.778126810835413,604.3406630275437,8
28,dRegret_util,20.63617268631,433.35962641251,8.837359309469932,185.58454549886858,30.728023393690375,645.2884912674979,8
29,tRelief_util,20.703051051240625,434.7640720760531,8.770480944539306,184.18009983532542,29.80866303762047,625.9819237900299,8
30,dRelief_util,20.643944077261377,433.52282562248894,8.829587918518552,185.4213462888896,30.59690379373082,642.5349796683472,8
31,tReg_tRel_util,24.787390428028402,520.5351989885964,9.87127195036127,207.29671095758667,27.10205817477022,569.1432216701746,9
32,dReg_dRel_util,24.644558453959007,517.5357275331392,10.085519911465365,211.79591814077267,29.086523277100273,610.8169888191057,9
33,nRPE_tReg_util,24.741248769422448,519.5662241578714,9.940484438270207,208.75017320367436,27.567542214158976,578.9183864973385,9
34,nRPE_dReg_util,24.601902452640356,516.6399515054475,10.149503913443347,213.13958218231028,29.61838833055078,621.9861549415664,9
35,pRPE_tRel_util,24.646252011371573,517.571292238803,10.08297957534651,211.7425710822767,29.069711917534228,610.4639502682188,9
36,pRPE_dRel_util,24.596481397351504,516.5261093443816,10.157635496376622,213.31034542390907,29.65688578700141,622.7946015270296,9
37,nRPE_pRPE_tReg_tRel_util,32.69457148717443,686.586001230663,12.157699265183666,255.311684568857,25.450864130564895,534.4681467418628,11
38,nRPE_pRPE_dReg_dRel_util,32.58177053568126,684.2171812493065,12.439701643916589,261.23373452224837,26.963745920632018,566.2386643332724,11
39,Base_util_RPE,20.81631199489799,437.1425518928578,8.65722000088194,181.80162001852074,28.14158987652112,590.9733874069435,8
40,Base_util_nRPE,20.751094824603523,435.772991316674,8.722437171176407,183.17118059470457,28.870396908434405,606.2783350771225,8
41,Base_util_pRPE,20.65993497781281,433.85863453406904,8.81359701796712,185.08553737730955,30.47840408121373,640.0464857054883,8
42,Base_util_tCPE,20.84974249296995,437.8445923523689,8.623789502809984,181.09957955900967,27.79312015752057,583.655523307932,8
