,tr,TrialType,ChoicePred,ChoiceProb,ChoiceUtil,util_gamble,util_safe,p_gamble,p_safe,SafeBet,HighBet,LowBet
0,0,gain,safe,0.878210350425956,0.8513399225207846,0.4562217682777404,0.8513399225207846,0.12178964957404406,0.878210350425956,0.2,0.4,0.0
1,1,gain,safe,0.8894638192893044,0.9502002165056764,0.5331450292392629,0.9502002165056764,0.11053618071069557,0.8894638192893044,0.6,1.9,0.0
2,2,mix,safe,0.9992554458242777,0.0,-1.4403960218132226,0.0,0.0007445541757221808,0.9992554458242777,0.0,0.2,-0.5
3,3,gain,safe,0.8758544812046988,0.8513399225207846,0.46059081380627,0.8513399225207846,0.12414551879530117,0.8758544812046988,0.2,0.44,0.0
4,4,mix,safe,0.9995106620192213,0.0,-1.5243935364506669,0.0,0.0004893379807786284,0.9995106620192213,0.0,0.9,-1.1
5,5,loss,gamble,0.9997846903771094,-2.0434883408428766,-2.0434883408428766,-3.7321319661472296,0.9997846903771094,0.00021530962289069693,-0.5,0.0,-1.24
6,6,gain,safe,0.8956026530666023,0.9502002165056764,0.5203416996168309,0.9502002165056764,0.10439734693339776,0.8956026530666023,0.6,1.49,0.0
7,7,mix,safe,0.9993477927536843,0.0,-1.4668991528143929,0.0,0.0006522072463155988,0.9993477927536843,0.0,0.8,-0.8
8,8,gain,safe,0.8811920135844417,0.9124435365554808,0.5116901522785812,0.9124435365554808,0.11880798641555836,0.8811920135844417,0.4,1.26,0.0
9,9,gain,safe,0.8860351616532065,0.9502002165056764,0.5400268824271907,0.9502002165056764,0.11396483834679347,0.8860351616532065,0.6,2.16,0.0
10,10,gain,safe,0.8817305955368616,0.9502002165056764,0.548415926253338,0.9502002165056764,0.11826940446313844,0.8817305955368616,0.6,2.52,0.0
11,11,loss,gamble,0.9996808256864544,-1.7954689017402448,-1.7954689017402448,-3.4053596900831384,0.9996808256864544,0.00031917431354560206,-0.2,0.0,-0.34
12,12,mix,safe,0.999574766258434,0.0,-1.552489247177812,0.0,0.00042523374156603694,0.999574766258434,0.0,1.8,-1.5
13,13,mix,safe,0.9994400271241511,0.0,-1.4974124163346545,0.0,0.0005599728758487654,0.9994400271241511,0.0,0.42,-0.8
14,14,loss,gamble,0.9995965208461314,-1.84236325522508,-1.84236325522508,-3.4053596900831384,0.9995965208461314,0.00040347915386857244,-0.2,0.0,-0.44
15,15,mix,safe,0.9993542868869273,0.0,-1.468901865711474,0.0,0.0006457131130726177,0.9993542868869273,0.0,0.1,-0.5
16,16,loss,gamble,0.9994351145693812,-1.9096951740816364,-1.9096951740816364,-3.4053596900831384,0.9994351145693812,0.0005648854306187042,-0.2,0.0,-0.63
17,17,loss,gamble,0.9996258596778576,-2.1540308806087265,-2.1540308806087265,-3.7321319661472296,0.9996258596778576,0.0003741403221425001,-0.5,0.0,-2.1
18,18,gain,safe,0.8731493219519824,0.9124435365554808,0.5266243456501635,0.9124435365554808,0.1268506780480176,0.8731493219519824,0.4,1.68,0.0
19,19,gain,safe,0.8909282791337525,0.8865681505652133,0.4665164957684037,0.8865681505652133,0.10907172086624749,0.8909282791337525,0.3,0.5,0.0
20,20,loss,gamble,0.9998522750271513,-2.0367987522940485,-2.0367987522940485,-3.8008008660227057,0.9998522750271513,0.00014772497284873742,-0.6,0.0,-1.2
21,21,loss,gamble,0.9993577980767934,-1.9353666154082962,-1.9353666154082962,-3.4053596900831384,0.9993577980767934,0.0006422019232065775,-0.2,0.0,-0.72
22,22,mix,safe,0.9989206646388524,0.0,-1.3660659830736148,0.0,0.0010793353611475277,0.9989206646388524,0.0,1.0,-0.5
23,23,mix,safe,0.9996464152481217,0.0,-1.5894067406737373,0.0,0.00035358475187841136,0.9996464152481217,0.0,0.22,-1.1
24,24,loss,gamble,0.9996309485003291,-1.965431554552343,-1.965431554552343,-3.5462726022608533,0.9996309485003291,0.0003690514996708353,-0.3,0.0,-0.84
25,25,gain,safe,0.8775439080881335,0.9124435365554808,0.5185686446683241,0.9124435365554808,0.12245609191186647,0.8775439080881335,0.4,1.44,0.0
26,26,gain,safe,0.8866872077248384,0.8865681505652133,0.4751001082528382,0.8865681505652133,0.11331279227516168,0.8866872077248384,0.3,0.6,0.0
27,27,loss,gamble,0.9997069568029581,-2.0227946575231313,-2.0227946575231313,-3.6497741462219233,0.9997069568029581,0.0002930431970419838,-0.4,0.0,-1.12
28,28,mix,safe,0.9991695265716745,0.0,-1.4185367611503885,0.0,0.0008304734283255779,0.9991695265716745,0.0,0.33,-0.5
29,29,loss,gamble,0.9994641584685532,-2.1435469250725863,-2.1435469250725863,-3.6497741462219233,0.9994641584685532,0.0005358415314467705,-0.4,0.0,-2.0
30,30,gain,gamble,0.11598820889272157,0.48037177807682013,0.48037177807682013,0.8865681505652133,0.11598820889272157,0.8840117911072785,0.3,0.67,0.0
31,31,gain,safe,0.8925815341244188,0.9124435365554808,0.48896638427146427,0.9124435365554808,0.10741846587558125,0.8925815341244188,0.4,0.8,0.0
32,32,mix,safe,0.9995485606631165,0.0,-1.540523602385972,0.0,0.0004514393368835349,0.9995485606631165,0.0,2.25,-1.5
33,33,mix,safe,0.9992227894176217,0.0,-1.4318043423513782,0.0,0.0007772105823782737,0.9992227894176217,0.0,1.6,-0.8
34,34,mix,safe,0.9996148546319569,0.0,-1.5723008992107237,0.0,0.0003851453680429892,0.9996148546319569,0.0,1.23,-1.5
35,35,loss,gamble,0.9998154065923781,-2.0813667984673234,-2.0813667984673234,-3.8008008660227057,0.9998154065923781,0.00018459340762187968,-0.6,0.0,-1.49
36,36,gain,safe,0.8926288505090842,0.9502002165056764,0.5266243456501635,0.9502002165056764,0.10737114949091575,0.8926288505090842,0.6,1.68,0.0
37,37,mix,safe,0.9984840274324428,0.0,-1.2980361928775883,0.0,0.0015159725675572223,0.9984840274324428,0.0,0.6,-0.3
38,38,mix,safe,0.9992990246266101,0.0,-1.452467316212057,0.0,0.0007009753733898129,0.9992990246266101,0.0,0.15,-0.5
